OBJECTID,GNISID,NAME,CLASS,STATE,FIPSST,COUNTYNAME,FIPSCO,LATITUDE,LONGITUDE,ELEV_METER,ELEV_FEET,TOPOMAP,DATE_CREAT,DATE_EDITE
"110757",1280763.00000000000,Clouds,Populated Place,TN,"47",Claiborne,"025",36.45924830000,-83.64907720000,"404","1325",Clouds,05/19/1980,
"125662",1315791.00000000000,Red Hill,Populated Place,TN,"47",Claiborne,"025",36.50841290000,-83.72935890000,"454","1489",Middlesboro South,05/19/1980,
"120693",1315082.00000000000,Friendship,Populated Place,TN,"47",Giles,"055",35.23285700000,-86.91555980000,"243","797",Tarpley,05/19/1980,
"114742",1313515.00000000000,Mount Tema,Populated Place,TN,"47",Maury,"119",35.52646160000,-86.90972480000,"207","679",Glendale,04/01/1990,
"123890",1315532.00000000000,Montague,Populated Place,TN,"47",Rhea,"143",35.45673570000,-85.09773400000,"254","833",Graysville,05/19/1980,
"111988",1275758.00000000000,Anes,Populated Place,TN,"47",Marshall,"117",35.55868200000,-86.75083190000,"202","663",Verona,05/19/1980,
"115824",1314368.00000000000,Sweetgum,Populated Place,TN,"47",Van Buren,"175",35.79340000000,-85.40913920000,"268","879",Bald Knob,05/19/1980,
"148284",1645046.00000000000,Hillis (historical),Populated Place,TN,"47",Warren,"177",35.72867960000,-85.62220090000,"300","984",Welchland,11/01/1989,
"148235",1640392.00000000000,Monterey Hills,Populated Place,TN,"47",Washington,"179",36.29344000000,-82.36097300000,"563","1847",Johnson City,08/01/1991,
"117398",1314535.00000000000,Woodlawn,Populated Place,TN,"47",Greene,"059",36.30259930000,-82.87960330000,"363","1191",McCloud,05/19/1980,
"184580",2553989.00000000000,Big Valley Mobile Home Park,Populated Place,TN,"47",Washington,"179",36.37000000000,-82.37388890000,"445","1460",Johnson City,04/21/2009,
"122808",1311564.00000000000,Valley View,Populated Place,TN,"47",Montgomery,"125",36.58449170000,-87.31889610000,"171","561",Clarksville,11/01/1989,
"120103",1314925.00000000000,Cypress,Populated Place,TN,"47",McNairy,"109",35.02814310000,-88.70810820000,"118","387",Chewalla,05/19/1980,
"111496",1270836.00000000000,South Carthage,Populated Place,TN,"47",Smith,"159",36.24199910000,-85.95193170000,"155","509",Gordonsville,05/19/1980,05/12/2008
"112578",1276490.00000000000,Baugh,Populated Place,TN,"47",Giles,"055",35.07313840000,-86.85055830000,"207","679",Dellrose,05/19/1980,
"116365",1307897.00000000000,Twin Oaks,Populated Place,TN,"47",Bradley,"011",35.12785210000,-84.85827720000,"284","932",East Cleveland,04/01/1989,
"112037",1289268.00000000000,Jalapa,Populated Place,TN,"47",Monroe,"123",35.34424260000,-84.36186790000,"288","945",Tellico Plains,05/19/1980,
"116906",1308091.00000000000,Law Chapel,Populated Place,TN,"47",Blount,"009",35.72147390000,-83.87767760000,"307","1007",Blockhouse,05/01/1989,
"118529",1314732.00000000000,Bright Hope,Populated Place,TN,"47",Greene,"059",36.09537800000,-82.97126480000,"375","1230",Cedar Creek,05/19/1980,
"120644",1310910.00000000000,Green Acres,Populated Place,TN,"47",Putnam,"141",36.14783920000,-85.51664290000,"339","1112",Cookeville West,09/01/1989,
"119611",1310539.00000000000,Maples (historical),Populated Place,TN,"47",Grainger,"057",36.18397340000,-83.66240350000,"305","1001",Luttrell,08/01/1989,
"150399",1651764.00000000000,Preston (historical),Populated Place,TN,"47",Knox,"093",36.11424780000,-83.91213200000,"350","1148",Fountain City,12/01/1989,
"185121",2516901.00000000000,Dogwood Mobile Home Park,Populated Place,TN,"47",Knox,"093",36.00833330000,-83.99166670000,"340","1115",Fountain City,01/20/2009,
"114693",1299894.00000000000,Rocky Hill,Populated Place,TN,"47",Knox,"093",35.90285910000,-84.02129790000,"306","1004",Bearden,05/19/1980,
"124480",1311919.00000000000,Curtiswood,Populated Place,TN,"47",Sumner,"165",36.26033070000,-86.61332910000,"147","482",Hendersonville,11/01/1989,
"110955",1281757.00000000000,Crowley Store,Populated Place,TN,"47",Weakley,"183",36.13673040000,-88.69283570000,"117","384",Pillowville,05/19/1980,
"127726",1312955.00000000000,Oakwood Estates,Populated Place,TN,"47",Williamson,"187",35.88200890000,-86.86055650000,"207","679",Franklin,02/01/1990,
"125562",1312475.00000000000,Cottonwood Estates,Populated Place,TN,"47",Williamson,"187",35.97367390000,-86.90777960000,"187","614",Leipers Fork,02/01/1990,
"128218",1313081.00000000000,Indian Springs,Populated Place,TN,"47",Rutherford,"149",35.88950920000,-86.40915890000,"175","574",Walterhill,03/01/1990,
"114152",1304896.00000000000,Auburntown,Populated Place,TN,"47",Cannon,"015",35.94756310000,-86.09721180000,"218","715",Auburntown,05/19/1980,03/20/2008
"115234",1306664.00000000000,Lancing,Populated Place,TN,"47",Morgan,"129",36.12063060000,-84.65383080000,"364","1194",Lancing,05/19/1980,
"115303",1314052.00000000000,Bear Branch (historical),Populated Place,TN,"47",DeKalb,"041",35.85701080000,-85.79803960000,"296","971",Dibrell,01/01/1990,
"123129",1315436.00000000000,Lost Creek,Populated Place,TN,"47",White,"185",35.87728820000,-85.36247140000,"395","1296",De Rossett,05/19/1980,
"127706",1312932.00000000000,Franklin East,Populated Place,TN,"47",Williamson,"187",35.90089720000,-86.80499980000,"259","850",Franklin,02/01/1990,
"114710",1313474.00000000000,Oak Hill Estates,Populated Place,TN,"47",Davidson,"037",36.04756040000,-86.79111060000,"259","850",Oak Hill,03/01/1990,
"110726",1280283.00000000000,Charlotte Park,Populated Place,TN,"47",Davidson,"037",36.14977970000,-86.88500060000,"137","449",Scottsboro,05/19/1980,
"115967",1314381.00000000000,Taylors,Populated Place,TN,"47",White,"185",36.01367590000,-85.36219460000,"286","938",Monterey Lake,05/19/1980,
"148599",1640489.00000000000,Candlewyck,Populated Place,TN,"47",Sullivan,"163",36.58288610000,-82.12513020000,"557","1827",Bristol,08/01/1991,
"148267",1640444.00000000000,Timberlake,Populated Place,TN,"47",Washington,"179",36.37177170000,-82.38403010000,"496","1627",Jonesborough,08/01/1991,
"114639",1294565.00000000000,Mount Carmel,Populated Place,TN,"47",Hawkins,"073",36.54537700000,-82.66098980000,"414","1358",Church Hill,05/19/1980,03/20/2008
"115042",1300372.00000000000,Ryall Springs,Populated Place,TN,"47",Hamilton,"065",35.00479730000,-85.11522910000,"286","938",Ooltewah,05/19/1980,
"116631",1327945.00000000000,Cog Hill,Populated Place,TN,"47",McMinn,"107",35.27618410000,-84.56798810000,"226","741",Etowah,05/19/1980,05/29/2020
"111129",1273151.00000000000,Tyner Hills,Populated Place,TN,"47",Hamilton,"065",35.05757380000,-85.14995320000,"220","722",East Chattanooga,05/19/1980,
"126449",1312623.00000000000,Claridge,Populated Place,TN,"47",Hamilton,"065",35.15284940000,-85.31468170000,"589","1932",Fairmount,01/01/1990,
"124789",1315619.00000000000,Oak Grove,Populated Place,TN,"47",Loudon,"105",35.80229900000,-84.31519990000,"266","873",Lenoir City,05/19/1980,
"122797",1311553.00000000000,Sailors Rest (historical),Populated Place,TN,"47",Montgomery,"125",36.34422040000,-87.53890250000,"124","407",Ellis Mills,11/01/1989,
"118884",1310117.00000000000,Longtown (historical),Populated Place,TN,"47",Hawkins,"073",36.33203970000,-83.05821990000,"353","1158",Bulls Gap,07/01/1989,
"148006",1640388.00000000000,Millercrest,Populated Place,TN,"47",Washington,"179",36.32093920000,-82.38264090000,"544","1785",Jonesborough,08/01/1991,
"122204",1311483.00000000000,Craigmont,Populated Place,TN,"47",Montgomery,"125",36.53143690000,-87.29889600000,"169","554",Clarksville,11/01/1989,
"124457",1311801.00000000000,Phebe (historical),Populated Place,TN,"47",Union,"173",36.39646820000,-83.87908330000,"306","1004",Well Spring,11/01/1989,
"110797",1281435.00000000000,Covington,Populated Place,TN,"47",Tipton,"167",35.56424740000,-89.64646720000,"102","335",Covington,05/19/1980,03/20/2008
"114378",1293653.00000000000,Middle City,Populated Place,TN,"47",Dyer,"045",36.03618270000,-89.43507340000,"85","279",Dyersburg,05/19/1980,
"113714",1293091.00000000000,McBurg,Populated Place,TN,"47",Lincoln,"103",35.18480240000,-86.81333460000,"206","676",Frankewing,05/19/1980,
"112718",1290578.00000000000,Lancelot Acres,Populated Place,TN,"47",Giles,"055",35.18369150000,-87.05361990000,"215","705",Pulaski,05/19/1980,
"113382",1287546.00000000000,Hickman,Populated Place,TN,"47",Smith,"159",36.14394640000,-85.94054290000,"154","505",Gordonsville,05/19/1980,08/29/2019
"125453",1312297.00000000000,House Mountain (historical),Populated Place,TN,"47",Knox,"093",36.14387420000,-83.75616090000,"311","1020",Graveston,12/01/1989,10/03/2019
"119287",1310443.00000000000,Lake Shore,Populated Place,TN,"47",Roane,"145",35.91868640000,-84.51187850000,"232","761",Harriman,07/01/1989,
"115635",1307674.00000000000,Jobe (historical),Populated Place,TN,"47",Anderson,"001",36.18730160000,-83.95963580000,"290","951",Big Ridge Park,04/01/1989,
"112054",1289663.00000000000,Johnsons Crossroads,Populated Place,TN,"47",Sumner,"165",36.49421080000,-86.59305050000,"260","853",Cottontown,05/19/1980,
"127374",1312860.00000000000,Lankford Farms,Populated Place,TN,"47",Wilson,"189",36.23505370000,-86.57360630000,"172","564",Hermitage,03/01/1990,
"113952",1297328.00000000000,Phillips,Populated Place,TN,"47",Hardin,"071",35.24091400000,-88.21864680000,"132","433",Savannah,05/19/1980,
"115065",1300820.00000000000,Savannah,Populated Place,TN,"47",Hardin,"071",35.22480340000,-88.24920370000,"135","443",Savannah,05/19/1980,05/12/2008
"112077",1283989.00000000000,Fairview,Populated Place,TN,"47",Marshall,"117",35.43868510000,-86.79916680000,"231","758",Lewisburg,05/19/1980,
"114401",1293772.00000000000,Mile Straight,Populated Place,TN,"47",Hamilton,"065",35.21590250000,-85.22773580000,"212","696",Daisy,05/19/1980,
"111081",1282239.00000000000,DePriest Bend,Populated Place,TN,"47",Perry,"135",35.73812210000,-87.81085820000,"151","495",Chestnut Grove,05/19/1980,
"147697",1643591.00000000000,McMahan,Populated Place,TN,"47",Cannon,"015",35.68618280000,-86.01387730000,"331","1086",Hollow Springs,06/01/1989,
"150236",1648012.00000000000,Annesdale-Snowden,Populated Place,TN,"47",Shelby,"157",35.12564570000,-90.01786840000,"95","312",Northwest Memphis,11/01/1994,
"116608",1327700.00000000000,Bridgeport,Populated Place,TN,"47",Cocke,"029",35.95315390000,-83.11709890000,"327","1073",Neddy Mountain,05/19/1980,
"115612",1307481.00000000000,Osborn,Populated Place,TN,"47",Johnson,"091",36.45484350000,-81.72566840000,"952","3123",Baldwin Gap,04/01/1989,
"117604",1304137.00000000000,Toone,Populated Place,TN,"47",Hardeman,"069",35.35230260000,-88.95256070000,"127","417",Bolivar East,05/19/1980,05/12/2008
"123887",1315528.00000000000,Moffatt,Populated Place,TN,"47",Obion,"131",36.32673240000,-89.09117760000,"95","312",Rives,05/19/1980,
"116061",1307818.00000000000,Hills and Dales,Populated Place,TN,"47",Bradley,"011",35.19173980000,-84.91800240000,"244","801",South Cleveland,04/01/1989,
"116940",1308305.00000000000,Jacktown,Populated Place,TN,"47",Monroe,"123",35.36257740000,-84.27964190000,"263","863",Tellico Plains,05/01/1989,
"148244",1640410.00000000000,Pine Ridge,Populated Place,TN,"47",Washington,"179",36.36260530000,-82.36736250000,"457","1499",Johnson City,08/01/1991,
"148361",1647041.00000000000,Altonville,Populated Place,TN,"47",Hawkins,"073",36.39814820000,-83.12350190000,"348","1142",Camelot,05/01/1989,
